step,epoch,loss,grad_norm,learning_rate,entropy,mean_token_accuracy,timestamp
890,0.4067176967896721,2.415688133239746,0.55859375,2.3886491816800916e-05,2.35579529106617,0.5188850559294224,2026-08-08T14:24:19
895,0.409002627670513,2.2678998947143554,0.61328125,2.3874123215459322e-05,2.215150326490402,0.5523712500929833,2026-08-08T14:25:23
900,0.41128755855135385,2.223928451538086,0.52734375,2.386168953772925e-05,2.208365668356419,0.5521987810730934,2026-08-08T14:26:32
905,0.41357248943219466,2.3166549682617186,0.58203125,2.3849190854749263e-05,2.375440179556608,0.5243540368974209,2026-08-08T14:27:44
910,0.4158574203130355,2.4764190673828126,0.52734375,2.3836627238029857e-05,2.4132508754730226,0.5200410209596157,2026-08-08T14:28:59
915,0.4181423511938764,2.2102542877197267,0.6171875,2.382399875945304e-05,2.3021302558481693,0.550913716852665,2026-08-08T14:30:06
920,0.42042728207471725,2.159468078613281,0.4921875,2.3811305491271917e-05,2.191860230267048,0.5530917070806026,2026-08-08T14:31:20
925,0.4227122129555581,2.299656295776367,0.69140625,2.37985475061103e-05,2.2820852905511857,0.5408400047570467,2026-08-08T14:32:26
930,0.42499714383639897,2.3169132232666017,0.65234375,2.3785724876962244e-05,2.255800871551037,0.5538173265755176,2026-08-08T14:33:37
935,0.4272820747172398,2.2865724563598633,0.5078125,2.3772837677191696e-05,2.300342509150505,0.5419201344251633,2026-08-08T14:34:47
940,0.42956700559808064,2.1984487533569337,0.6171875,2.375988598053202e-05,2.1778098687529566,0.5629978306591511,2026-08-08T14:35:55
945,0.4318519364789215,2.3490549087524415,0.83984375,2.37468698610856e-05,2.289351376891136,0.5348768074065446,2026-08-08T14:36:56
950,0.43413686735976237,2.3241594314575194,0.5703125,2.373378939332341e-05,2.2809553325176237,0.5430113889276982,2026-08-08T14:38:06
955,0.43642179824060323,2.1926401138305662,0.57421875,2.3720644652084592e-05,2.2307846531271935,0.5527906663715839,2026-08-08T14:39:14
960,0.4387067291214441,2.7287643432617186,0.62109375,2.370743571257602e-05,2.604541766643524,0.48827127665281295,2026-08-08T14:40:22
960,0.4387067291214441,,,,,,2026-08-08T14:59:09
960,0.4387067291214441,,,,,,2026-08-08T14:59:09
965,0.44099166000228496,2.148258018493652,0.62109375,2.369416265037188e-05,2.158563442528248,0.5633501462638378,2026-08-08T15:00:25
970,0.44327659088312577,2.3996339797973634,0.77734375,2.3680825541413235e-05,2.343623121082783,0.5343635745346547,2026-08-08T15:01:28
975,0.44556152176396663,2.2652681350708006,0.73828125,2.3667424462007574e-05,2.278557613492012,0.5357785023748874,2026-08-08T15:02:38
980,0.4478464526448075,2.404646873474121,0.55078125,2.3653959488828405e-05,2.345235374569893,0.5387664157897234,2026-08-08T15:03:56
985,0.45013138352564835,2.249283218383789,0.609375,2.3640430698914783e-05,2.2897263556718825,0.5345139142125845,2026-08-08T15:05:06
990,0.4524163144064892,2.234023857116699,0.6171875,2.362683816967091e-05,2.245857709646225,0.5603803221136332,2026-08-08T15:06:14
995,0.4547012452873301,2.2042951583862305,0.8984375,2.3613181978865657e-05,2.197687499970198,0.5527876608073712,2026-08-08T15:07:16
1000,0.4569861761681709,2.505519485473633,0.64453125,2.3599462204632117e-05,2.475476559996605,0.5135147290304303,2026-08-08T15:08:27
1005,0.45927110704901175,2.3194002151489257,0.5703125,2.35856789254672e-05,2.3648417428135873,0.5273750230669976,2026-08-08T15:09:37
